employee_id,review_date,review_type,reviewer_id,technical_score,communication_score,leadership_score,initiative_score,teamwork_score,quality_score,comments
1001,2024-07-08,quarterly,2006,3.8,3.7,3.3,4.3,4.0,4.9,Ask far law design stay.
1001,2024-02-17,quarterly,2010,4.9,4.2,3.5,3.3,4.0,4.7,Major above good.
1001,2024-11-19,quarterly,2003,4.9,3.7,3.6,3.8,4.4,3.7,Anyone case these.
1001,2024-10-31,quarterly,2009,4.4,4.5,3.4,4.3,3.9,3.7,Program shoulder choice beat establish you culture.
1002,2024-08-15,quarterly,2003,4.9,3.6,3.1,4.3,4.2,4.2,Fact allow usually eat.
1002,2024-09-20,quarterly,2001,4.4,5.0,3.5,3.7,4.4,4.2,Institution whom better end few financial.
1002,2024-08-06,quarterly,2001,5.0,4.9,3.9,4.3,5.0,4.8,Quickly follow official raise current career.
1002,2024-08-03,quarterly,2002,3.8,4.4,4.0,4.4,3.7,4.9,Feeling beat note pick national.
1003,2024-05-26,quarterly,2004,4.9,4.0,4.1,4.4,3.6,4.4,Benefit money reason mean rate group.
1003,2024-05-17,quarterly,2008,3.5,4.8,3.6,3.3,4.8,3.8,Level which leave tree ago short.
1003,2024-02-04,quarterly,2005,5.0,4.9,3.0,3.5,3.8,4.5,Past few drug mention.
1003,2024-02-19,quarterly,2005,3.9,5.0,3.5,3.4,5.0,4.5,Myself not fall sense hotel idea accept space.
1004,2024-12-05,quarterly,2002,4.0,3.5,4.3,4.4,3.5,4.4,Least approach area stop practice four best.
1004,2024-04-22,quarterly,2005,4.1,4.9,3.6,3.1,4.5,4.5,Loss former article science purpose school apply.
1004,2024-03-20,quarterly,2006,4.1,4.3,4.5,3.6,4.6,3.7,Century science manager difference put system feeling.
1004,2024-04-30,quarterly,2006,4.6,4.3,3.7,3.4,4.9,4.9,South perhaps customer.
1005,2024-01-27,quarterly,2002,4.7,4.9,4.3,4.3,3.5,3.7,Check they mind.
1005,2024-04-06,quarterly,2002,3.9,3.8,3.1,3.9,3.9,3.6,Billion agency media hospital unit.
1005,2024-04-26,quarterly,2002,3.5,3.5,4.2,4.3,4.4,3.7,Low contain dog summer employee partner.
1005,2024-06-19,quarterly,2008,4.4,4.0,4.0,3.9,3.6,3.7,But chair against center seat drive memory record.
1006,2024-03-18,quarterly,2002,3.8,4.6,3.1,3.6,4.5,3.8,Lose face beyond open happen every history.
1006,2024-11-06,quarterly,2002,4.1,4.4,3.3,4.2,4.6,4.2,Less spend challenge exist.
1006,2024-02-16,quarterly,2003,4.2,4.6,3.9,4.3,4.2,4.3,Hope oil alone practice price know traditional.
1006,2024-05-17,quarterly,2002,3.8,3.8,3.2,3.8,5.0,4.5,Life rich everybody word.
1007,2024-05-18,quarterly,2002,3.8,4.8,4.1,3.3,4.1,4.8,Task me give relationship hospital artist pretty.
1007,2024-05-16,quarterly,2005,4.4,4.3,3.4,3.6,4.7,4.6,Fund resource skill everything several field hour.
1007,2024-12-21,quarterly,2009,3.5,4.8,4.0,3.4,3.7,3.6,Heavy line probably office until simple moment.
1007,2024-02-20,quarterly,2008,4.0,4.6,3.9,4.2,3.6,4.6,Open oil once stop attack ahead.
1008,2024-10-11,quarterly,2008,3.5,4.6,3.1,3.9,4.9,4.0,Discuss professor material quickly.
1008,2024-05-05,quarterly,2010,4.5,3.6,3.4,4.3,4.2,4.6,Wonder speak run door tonight.
1008,2024-03-08,quarterly,2008,4.1,4.0,3.7,3.8,4.6,3.8,Sense information ask partner boy suggest.
1008,2024-01-29,quarterly,2003,3.6,4.0,3.7,3.7,4.9,4.8,Shake paper subject type fly recognize.
1009,2024-05-26,quarterly,2007,4.2,4.8,3.7,3.2,4.6,4.1,Writer off current education.
1009,2024-06-18,quarterly,2001,4.8,4.7,3.6,4.3,3.7,4.0,Different score its more so.
1009,2024-02-03,quarterly,2007,4.7,4.5,3.3,3.9,3.8,3.6,Agency where benefit almost cell accept similar nothing.
1009,2024-12-01,quarterly,2007,4.2,3.9,3.3,3.7,3.7,4.7,Future radio whatever rock.
1010,2024-07-24,quarterly,2009,3.9,3.8,3.9,3.7,4.2,4.8,Couple debate still may ground tonight table.
1010,2024-11-07,quarterly,2008,5.0,3.6,4.4,3.1,4.0,4.2,Keep personal them notice.
1010,2024-02-19,quarterly,2005,3.7,4.3,3.7,3.3,4.2,4.9,Fear brother discover own former difference wait.
1010,2024-12-24,quarterly,2003,4.0,4.0,3.9,3.9,4.4,4.3,Hospital group their citizen explain.
1011,2024-07-26,quarterly,2006,4.6,4.7,4.3,3.6,5.0,3.6,Drop military particularly fine peace national through.
1011,2024-08-14,quarterly,2008,4.1,3.9,4.4,4.0,4.9,4.9,View world president allow instead customer thousand.
1011,2024-01-24,quarterly,2008,4.7,4.3,3.9,3.5,3.8,3.7,Daughter stage form serious.
1011,2024-12-20,quarterly,2006,4.7,4.4,4.4,4.1,4.4,4.7,Dog authority way toward.
1012,2024-09-30,quarterly,2004,4.2,4.2,3.0,3.8,3.6,4.6,Generation audience indicate.
1012,2024-10-14,quarterly,2010,4.0,4.3,3.7,4.4,4.9,4.6,Upon thought long can rich bit market different.
1012,2024-05-16,quarterly,2002,4.2,4.7,4.2,3.4,3.7,4.8,Local sit theory direction use ago.
1012,2024-10-30,quarterly,2001,4.2,3.8,3.0,3.5,4.4,4.3,Move team radio scene need.
1013,2024-01-21,quarterly,2005,4.9,4.2,3.5,4.3,3.8,4.7,She receive involve interview case just.
1013,2024-12-14,quarterly,2004,4.9,4.4,3.2,4.1,4.6,3.8,Work happy create job around discussion open dinner.
1013,2024-10-17,quarterly,2009,3.9,4.7,3.6,4.2,3.5,3.9,Nothing yard address rest spend baby camera.
1013,2024-03-11,quarterly,2003,3.9,3.5,4.0,3.6,4.1,4.7,Analysis glass pretty each factor.
1014,2024-08-23,quarterly,2003,4.2,4.1,3.2,3.7,4.0,4.9,Long business baby economic myself manager.
1014,2024-10-12,quarterly,2008,3.9,4.6,3.7,3.2,3.7,4.9,Today teach kitchen few happen necessary.
1014,2024-12-03,quarterly,2002,3.6,4.0,3.7,3.2,4.7,4.1,Money environment recently me approach.
1014,2024-12-15,quarterly,2001,4.4,4.5,3.6,3.5,4.8,3.6,Relationship perform evidence data case wish.
1015,2024-03-30,quarterly,2005,4.0,4.6,3.1,3.8,4.6,4.6,Score decision head staff center.
1015,2024-04-01,quarterly,2008,3.6,3.6,3.2,3.8,4.9,3.9,Practice law box material almost everyone.
1015,2024-05-29,quarterly,2006,5.0,4.0,3.6,4.1,4.2,4.3,Still be everything particular manager.
1015,2024-12-01,quarterly,2009,4.1,4.7,4.0,3.8,3.6,3.8,His and day continue issue appear.
1016,2024-04-28,quarterly,2003,3.7,4.9,3.4,3.4,4.5,4.3,Must girl ago.
1016,2024-08-24,quarterly,2001,4.5,4.5,3.7,3.1,4.6,4.9,Two traditional special opportunity serious game.
1016,2024-11-18,quarterly,2003,4.3,4.0,4.1,4.0,3.5,4.6,Its into role save arm body hold return.
1016,2024-09-20,quarterly,2008,3.5,4.6,3.6,3.1,3.8,3.6,Teach visit less occur nothing.
